date, pm25, pm10, o3, no2, so2, co
2024/4/2, 137, , , , , 
2024/4/4, 132, 84, 35, 11, 8, 10
2024/4/5, 153, 30, 16, 9, 18, 8
2024/4/6, 65, , , , , 
2024/4/8, 100, 116, 17, 19, 15, 8
2024/4/9, 181, 95, 22, 22, 9, 9
2024/4/10, 158, 115, 22, 23, 34, 9
2024/4/11, 148, 89, 62, 15, 38, 
2024/4/12, 161, , , , , 
2024/4/14, 136, , , , , 
2024/1/2, 159, 82, 28, 8, , 4
2024/1/3, 154, 79, 17, 7, , 2
2024/1/4, 128, 76, 18, 7, , 2
2024/1/5, 126, 78, 19, 13, , 4
2024/1/6, 132, 76, 13, 13, , 3
2024/1/7, 130, 73, 28, 6, , 3
2024/1/8, 128, 77, 31, 12, , 4
2024/1/9, 140, 93, 15, 17, , 3
2024/1/10, 153, 84, 17, 7, , 2
2024/1/11, 151, 67, 27, 8, , 4
2024/1/12, 128, 78, 26, 17, , 4
2024/1/13, 131, 94, 17, 24, , 4
2024/1/14, 133, 97, , 27, , 2
2024/1/15, 151, 88, 23, 18, , 3
2024/1/16, 112, 102, 21, 23, , 4
2024/1/17, 149, 105, 26, 26, , 4
2024/1/18, 144, 85, 19, 17, , 2
2024/1/19, 120, 92, 14, 19, , 3
2024/1/20, 148, 98, 16, 13, , 3
2024/1/21, 141, 71, 18, 11, , 3
2024/1/22, 107, 194, 13, 24, , 6
2024/1/23, 147, 251, 11, 28, , 5
2024/1/24, 200, 105, 18, 20, , 3
2024/1/25, 142, 92, 19, 19, , 4
2024/1/26, 126, 88, 19, 21, , 4
2024/1/27, 128, 95, 21, 20, , 4
2024/1/28, 135, 162, 28, 27, , 6
2024/1/29, 150, 76, 25, 22, , 4
2024/1/30, 139, 56, 32, 18, , 4
2024/1/31, 130, 82, 39, 19, , 6
2024/2/1, 111, 80, 43, 15, 2, 5
2024/2/2, 121, 87, 42, 20, , 2
2024/2/3, 158, 216, 8, 51, 45, 17
2024/2/4, 179, 112, 38, 22, 20, 3
2024/2/5, 142, 50, 32, 9, 7, 4
2024/2/6, 72, 57, 34, 14, 3, 4
2024/2/7, 88, 82, 34, 10, 11, 4
2024/2/8, 113, 54, 13, , 14, 6
2024/2/9, 80, 57, 21, , 7, 5
2024/2/10, 90, 58, 21, , 9, 4
2024/2/11, 89, 52, 24, , 8, 4
2024/2/12, 80, 59, 33, , 11, 3
2024/2/13, 92, 63, 30, 19, 13, 4
2024/2/14, 119, 63, 19, 15, 15, 5
2024/2/15, 114, 66, 33, 8, 13, 4
2024/2/16, 128, 68, 27, 8, 18, 6
2024/2/17, 126, 65, 36, 7, 69, 4
2024/2/18, 126, 7, 13, 7, 55, 7
2024/2/19, 110, 65, 32, 6, 85, 5
2024/2/20, 95, 67, 39, 5, 106, 4
2024/2/21, 103, 89, 23, 6, , 6
2024/2/22, 99, , , , , 
2024/2/25, 128, 79, 14, 3, 8, 4
2024/2/26, 111, 82, 21, 3, 9, 3
2024/2/27, 102, 88, 46, 3, 12, 4
2024/2/28, 124, 75, 33, 3, 17, 7
2024/2/29, 127, 83, 27, 3, 37, 10
2024/3/1, 134, 114, 35, 3, 25, 7
2024/3/2, 154, 63, 48, 9, 9, 7
2024/3/3, 88, 37, 26, 12, 12, 8
2024/3/4, 48, 82, 17, 9, 30, 8
2024/3/5, 119, 65, 18, 6, 9, 8
2024/3/6, 66, 70, 21, 6, 7, 7
2024/3/7, 12, 80, 18, 6, 20, 7
2024/3/8, 120, 65, 18, 15, 19, 7
2024/3/9, 87, 61, 19, 15, 22, 8
2024/3/10, 82, 80, 14, 15, 36, 10
2024/3/11, 113, 99, 14, 15, 26, 7
2024/3/12, 142, 52, 32, 12, 25, 12
2024/3/13, 77, 61, 26, 13, 1, 12
2024/3/14, 63, 81, 19, 12, 6, 8
2024/3/15, 93, , , , , 
2024/3/17, 123, 83, 13, 17, 2, 8
2024/3/18, 116, 72, 9, 16, 5, 9
2024/3/19, 96, 87, 9, 23, 6, 11
2024/3/20, 120, 73, 11, 17, 1, 7
2024/3/21, 111, 96, 9, 23, 7, 9
2024/3/22, 145, 81, 15, 18, 3, 7
2024/3/23, 123, 78, 48, 11, 17, 9
2024/3/24, 103, 44, 27, 20, 14, 13
2024/3/25, 119, 48, 37, 14, 19, 7
2024/3/26, 132, 37, 57, 12, 12, 9
2024/3/27, 78, 89, 38, 17, 15, 10
2024/3/28, 149, 75, 28, 14, 18, 9
2024/3/29, 106, 70, 23, 13, 15, 10
2024/3/30, 103, 65, 7, 21, 14, 11
2024/3/31, 124, 58, 19, 10, 12, 9
2024/4/1, 83, 97, 26, 11, 18, 10
2023/10/2, 140, 121, 44, 31, 7, 8
2023/10/3, 151, 105, 43, 36, 6, 7
