date, pm25, pm10, o3, no2, so2, co
2023/4/2, 153, 59, , , , 6
2023/4/3, 125, 76, , , , 5
2023/4/4, 152, 66, , , , 5
2023/4/5, 141, 66, , , , 5
2023/4/6, 139, 61, , , , 5
2023/4/7, 127, 58, , , , 4
2023/4/8, 119, 50, , , , 4
2023/4/9, 111, 51, , , , 4
2023/4/10, 104, 69, , , , 6
2023/4/11, 144, 56, , , , 4
2023/4/12, 125, 59, , , , 4
2023/4/13, 129, 79, , , , 5
2023/4/14, 158, 75, , , , 5
2023/4/15, 133, 55, , , , 5
2023/4/16, 124, 51, , , , 7
2023/4/17, 114, 63, , , , 5
2023/4/18, 147, 54, , , , 5
2023/4/19, 127, 65, , , , 6
2023/4/20, 134, 73, , , , 7
2023/4/21, 149, 68, , , , 6
2023/4/22, 153, 69, , , , 5
2023/4/23, 153, 60, , , , 6
2023/4/24, 138, 61, , , , 6
2023/4/25, 132, 69, , , , 6
2023/4/26, 143, 62, , , , 7
2023/5/30, 104, 54, , , , 5
2023/5/31, 110, 69, , , , 5
2023/6/1, 142, 71, , , , 5
2023/6/2, 146, 72, , , , 6
2023/6/3, 147, 64, , , , 5
2023/6/4, 133, 62, , , , 6
2023/6/5, 113, 47, , , , 5
2023/6/6, 102, 63, , , , 5
2023/6/7, 132, 66, , , , 5
2023/6/8, 126, 66, , , , 5
2023/6/9, 138, 62, , , , 5
2023/6/10, 133, 65, , , , 5
2023/6/11, 142, 60, , , , 5
2023/6/12, 127, 51, , , , 5
2023/6/13, 128, 83, , , , 5
2023/6/14, 146, 77, , , , 6
2023/6/15, 149, 70, , , , 5
2023/6/16, 141, 70, , , , 5
2023/6/17, 142, 75, , , , 6
2023/6/18, 154, 70, , , , 6
2023/6/19, 144, 68, , , , 5
2023/6/20, 147, 73, , , , 6
2023/6/21, 134, 76, , , , 
2023/6/22, 142, 89, , , , 
2023/6/23, 157, 75, , , , 
2023/6/24, 157, 85, , , , 
2023/6/25, 136, 49, , , , 
2023/6/26, 103, 53, , , , 
2023/6/27, 113, 49, , , , 
2023/6/28, 98, 48, , , , 
2023/6/29, 92, 52, , , , 
2023/1/3, 54, 41, , , , 8
2023/1/4, 72, 67, , , , 13
2023/1/5, 99, 78, , , , 13
2023/1/6, 116, 74, , , , 10
2023/1/7, 126, 81, , , , 12
2023/1/8, 129, 65, , , , 9
2023/1/9, 109, 72, , , , 11
2023/1/10, 111, 81, , , , 11
2023/1/11, 126, 88, , , , 9
2023/1/12, 131, 72, , , , 13
2023/1/13, 121, 75, , , , 8
2023/1/14, 121, 76, , , , 8
2023/1/15, 117, 60, , , , 7
2023/1/16, 99, 71, 5, , , 12
2023/1/17, 106, 92, 19, , , 11
2023/1/18, 131, 85, 19, , , 13
2023/1/19, 133, 99, 20, , , 14
2023/1/20, 140, 86, 16, , , 12
2023/1/21, 128, 71, 16, , , 8
2023/1/22, 99, 57, 17, , , 8
2023/1/23, 88, 97, 12, , , 7
2023/1/24, 106, 61, 10, , , 6
2023/1/25, 85, 59, 6, , , 10
2023/1/26, 82, , , , , 
2023/1/30, 65, 62, 21, , , 10
2023/1/31, 96, 66, 17, , , 7
2023/2/1, 103, 68, 15, , , 8
2023/2/2, 105, 59, 18, , , 8
2023/2/3, 89, 70, 1, , , 8
2023/2/4, 101, , , , , 
2023/2/6, 123, 72, 32, , , 8
2023/2/7, 116, 65, 22, , , 7
2023/2/8, 106, 74, 22, , , 8
2023/2/9, 118, 78, 23, , , 9
2023/2/10, 125, 92, 25, , , 10
2023/2/11, 138, 77, 9, , , 6
2023/2/12, 139, 67, 8, , , 6
2023/2/13, 131, 69, 2, , , 8
2023/2/14, 122, 69, 6, , , 6
2023/2/15, 121, 66, 1, , , 7
2023/2/16, 118, 65, , , , 8
2023/2/17, 114, 73, , , , 8
2023/2/18, 129, 71, , , , 7
2023/2/19, 138, 73, , , , 8
2023/2/20, 128, 64, , , , 7
2023/2/21, 121, 56, , , , 5
2023/2/22, 113, 55, , , , 6
2023/2/23, 113, 73, , , , 9
2023/2/24, 132, 104, , , , 9
2023/2/25, 165, 55, , , , 6
2023/2/26, 106, 58, , , , 7
2023/2/27, 116, 67, , , , 7
2023/2/28, 130, 72, , , , 7
2023/3/1, 131, 66, , , , 11
2023/3/2, 153, 72, , , , 7
2023/3/3, 121, 59, , , , 7
2023/3/4, 120, 66, , , , 7
2023/3/5, 130, 61, , , , 8
2023/3/6, 122, 78, , , , 9
2023/3/7, 149, 78, , , , 8
2023/3/8, 149, 73, , , , 7
2023/3/9, 137, 80, , , , 7
2023/3/10, 152, 86, , , , 7
2023/3/11, 157, 69, , , , 7
2023/3/12, 136, 60, , , , 6
2023/3/13, 128, 79, , , , 6
2023/3/14, 153, 59, , , , 6
2023/3/15, 123, 71, , , , 5
2023/3/16, 138, 63, , , , 5
2023/3/17, 140, 54, , , , 6
2023/3/18, 118, 58, , , , 5
2023/3/19, 130, 46, , , , 5
2023/3/20, 101, 50, , , , 4
2023/3/21, 107, 53, , , , 5
2023/3/22, 110, 65, , , , 5
2023/3/23, 137, 60, , , , 6
2023/3/24, 107, 56, , , , 5
2023/3/25, 117, 72, , , , 6
2023/3/26, 130, 64, , , , 7
2023/3/27, 131, 78, , , , 6
2023/3/28, 151, 92, , , , 7
2023/3/29, 166, 83, , , , 5
2023/3/30, 158, 92, , , , 7
2023/3/31, 168, 70, , , , 6
2023/4/1, 143, 72, , , , 6
2022/12/9, 139, 75, , , , 10
2022/12/10, 147, 91, , , , 10
2022/12/11, 150, 97, , , , 10
2022/12/12, 125, 74, , , , 9
2022/12/13, 128, 70, 22, , , 12
2022/12/14, 129, 76, 16, , , 9
2022/12/15, 122, 70, , , , 11
2022/12/16, 142, 92, , , , 13
2022/12/17, 144, 89, , , , 11
2022/12/18, 137, 90, , , , 13
2022/12/19, 109, 64, , , , 7
2022/12/20, 124, 76, , , , 10
2022/12/21, 146, 79, , , , 12
2022/12/22, 130, 64, , , , 7
2022/12/23, 126, 79, , , , 13
2022/12/24, 121, 73, , , , 11
2022/12/25, 108, 63, , , , 10
2022/12/26, 115, 65, , , , 9
2022/12/27, 103, 58, , , , 8
2022/12/28, 106, 80, , , , 9
2022/12/29, 110, 66, , , , 7
2022/12/30, 92, 54, , , , 7
2022/12/31, 87, 59, , , , 8
2023/1/1, 97, 79, , , , 11
2023/1/2, 85, 47, , , , 7
2019/7/2, 49, 27, 52, 6, 1, 7
2019/7/3, 44, 21, 39, 5, 3, 7
2019/7/4, 47, 36, 59, 8, 3, 9
2019/7/5, 48, 18, 38, 7, 2, 8
2019/7/6, 42, 31, 39, 5, 4, 8
2019/7/7, 52, 27, 35, 8, 2, 8
2019/7/8, 55, 30, 50, 6, 1, 8
2019/7/9, 47, 28, 52, 8, 2, 7
2019/7/10, 49, 23, 50, 7, , 10
2019/7/11, 49, 52, 41, 5, 2, 8
2019/7/12, 49, 20, 29, 2, 1, 6
2019/7/13, 37, 20, 37, 4, 2, 8
2019/7/14, 35, 15, 43, 7, 1, 8
2019/7/15, 31, 14, 33, 4, 2, 8
2019/7/16, 39, 18, 33, , 1, 8
2019/7/17, 44, 24, 37, , 1, 8
2019/7/18, 54, 24, 39, , 4, 9
2019/4/2, 44, 47, 44, 10, 2, 8
2019/4/3, 64, 40, 38, 7, 3, 7
2019/4/4, 66, 44, 40, 9, 3, 9
2019/4/5, 68, 46, 40, 10, 1, 7
2019/4/6, 55, 55, 36, 6, 2, 5
2019/4/7, 65, 39, 42, 11, 2, 10
2019/4/8, 73, 44, 58, 16, 2, 10
2019/4/9, 69, 50, 44, 13, 3, 10
2019/4/10, 68, 51, 50, 11, 2, 8
2019/4/11, 62, 57, 45, 15, 2, 12
2019/4/12, 69, 53, 44, 13, 3, 10
2019/4/13, 82, 50, 45, 9, 4, 7
2019/4/14, 65, 49, 59, 16, 1, 10
2019/4/15, 76, 54, 43, 13, 2, 10
2019/4/16, 84, 57, 39, 14, 2, 8
2019/4/17, 90, 51, 34, 11, 4, 9
2019/4/18, 67, 36, 42, 12, 1, 8
2019/4/19, 51, 50, 37, 12, 1, 8
2019/4/20, 66, 77, 8, 35, 3, 17
2019/4/21, 86, , , , , 
2019/4/22, 55, 45, 37, 10, 1, 7
2019/4/23, 61, 45, 37, 10, 1, 8
2019/4/24, 74, 41, 26, 14, 3, 9
2019/4/25, 69, 47, 59, 15, 2, 10
2019/4/26, 67, 53, 47, 13, 1, 9
2019/4/27, 84, 47, 45, 10, 2, 9
2019/4/28, 79, 41, 43, 8, 2, 8
2019/4/29, 79, 53, 54, 10, 1, 9
2019/4/30, 91, 56, 55, 12, 1, 10
2019/5/1, 96, 40, 13, 24, 2, 10
2019/5/2, 56, 46, 45, 11, 1, 8
2019/5/3, 56, 41, 34, 8, 2, 7
2019/5/4, 46, 43, 34, 12, 2, 9
2019/5/5, 59, 45, 32, 11, 3, 8
2019/5/6, 71, 39, 41, 9, 2, 8
2019/5/7, 60, 47, 42, 13, 1, 8
2019/5/8, 63, 58, 35, 10, 2, 7
2019/5/9, 49, 38, 12, 17, 2, 10
2019/5/10, 96, , , , , 
2019/5/11, 92, , , , , 
2019/5/12, 61, 46, 23, 2, 2, 6
2019/5/13, 71, 50, 31, 10, 2, 10
2019/5/14, 94, 48, 30, 10, 3, 9
2019/5/15, 73, 52, 43, 13, 2, 8
2019/5/16, 94, 59, 42, 12, 2, 11
2019/5/17, 102, , , , , 
2019/5/18, 86, 60, 30, 2, 1, 5
2019/5/19, 72, 39, 38, 9, 2, 8
