date, pm25, o3, no2, so2, co
2024/4/2, 54, 37, 3, , 
2024/4/3, 34, 41, 1, , 
2024/4/4, 24, 49, 12, , 
2024/4/5, 48, 47, 5, , 
2024/4/6, 27, 38, 4, , 
2024/4/7, 29, 36, , , 
2024/4/8, 42, 26, 4, , 
2024/4/9, 49, 31, 4, , 
2024/4/10, 52, 36, 3, , 
2024/4/11, 15, 40, 7, , 
2024/4/12, 21, 89, 10, , 
2024/4/13, 37, , , , 
2024/1/2, 231, 15, 2, , 
2024/1/4, 41, 30, 6, , 
2024/1/5, 44, 26, 8, , 
2024/1/6, 26, 21, 9, , 
2024/1/7, 46, 27, 5, , 
2024/1/8, 40, 23, 1, , 
2024/1/9, 31, 23, 11, , 
2024/1/10, 29, 28, 15, , 
2024/1/11, 49, 26, 9, , 
2024/1/12, 32, 24, 3, , 
2024/1/13, 36, 28, 12, , 
2024/1/14, 53, 18, 13, , 
2024/1/15, 48, 16, , , 
2024/1/16, 30, 26, 4, , 
2024/1/17, 24, 22, 9, , 
2024/1/18, 41, 18, 11, , 
2024/1/19, 59, 27, 4, , 
2024/1/20, 30, 24, 2, , 
2024/1/21, 37, 21, 2, , 
2024/1/22, 43, 16, 7, , 
2024/1/23, 37, 12, 11, , 
2024/1/24, 42, 22, 5, , 
2024/1/25, 14, 24, 9, , 
2024/1/26, 20, 10, 8, , 
2024/1/27, 36, 16, 3, , 
2024/1/28, 19, 22, 10, , 
2024/1/29, 34, 23, 13, , 
2024/1/30, 50, 34, 11, , 
2024/1/31, 36, 34, 17, , 
2024/2/1, 40, 25, 19, , 
2024/2/2, 60, 31, 9, , 
2024/2/3, 42, 26, 3, , 
2024/2/4, 21, 24, 7, , 
2024/2/5, 38, 23, 1, , 
2024/2/6, 19, 29, 3, , 
2024/2/7, 41, 27, 16, , 
2024/2/8, 52, 27, 10, , 
2024/2/9, 35, 28, 6, , 
2024/2/10, 35, 23, 5, , 
2024/2/11, 37, 25, 3, , 
2024/2/12, 31, 28, 7, , 
2024/2/13, 16, 28, 12, , 
2024/2/14, 46, 29, , , 
2024/2/15, 46, 20, 18, , 
2024/2/16, 48, 25, 7, , 
2024/2/17, 25, 24, 1, , 
2024/2/18, 25, 29, 6, , 
2024/2/19, 50, 34, 15, , 
2024/2/20, 59, 36, 10, , 
2024/2/21, 38, 30, 9, , 
2024/2/22, 21, 31, 5, , 
2024/2/23, 36, 38, 8, , 
2024/2/24, 36, 42, 11, , 
2024/2/25, 43, 39, 4, , 
2024/2/26, 41, 31, 3, , 
2024/2/27, 37, 30, 1, , 
2024/2/28, 46, 28, 2, , 
2024/2/29, 39, 22, 3, , 
2024/3/1, 28, 24, 9, , 
2024/3/2, 52, 26, 12, , 
2024/3/3, 59, 20, 6, , 
2024/3/4, 50, 16, 6, , 
2024/3/5, 50, 30, 7, , 
2024/3/6, 47, 38, 15, , 
2024/3/7, 52, 33, 9, , 
2024/3/8, 36, 29, 4, , 
2024/3/9, 46, 23, 2, , 
2024/3/10, 23, 36, 6, , 
2024/3/11, 40, 37, 13, , 
2024/3/12, 39, 38, 12, , 
2024/3/13, 38, 23, 11, , 
2024/3/14, 40, 18, 7, , 
2024/3/15, 56, 19, 5, , 
2024/3/16, 49, 20, 5, , 
2024/3/17, 35, 23, 1, , 
2024/3/18, 34, 31, , , 
2024/3/19, 21, 35, 4, , 
2024/3/20, 26, 33, 7, , 
2024/3/21, 29, 29, 2, , 
2024/3/22, 22, 32, 9, , 
2024/3/23, 25, 41, 5, , 
2024/3/24, 55, 39, 7, , 
2024/3/25, 46, 30, 5, , 
2024/3/26, 42, 33, 3, , 
2024/3/27, 29, 25, 5, , 
2024/3/28, 37, 33, 11, , 
2024/3/29, 61, 42, 7, , 
2024/3/30, 31, 37, 5, , 
2024/3/31, 27, 33, 7, , 
2024/4/1, 43, 31, 1, , 
2023/10/2, 38, 44, 7, , 
2023/10/3, 40, 17, 6, , 
2023/10/4, 30, 24, 7, , 
2023/10/5, 49, 23, 8, , 
2023/10/6, 30, 28, 3, , 
2023/10/7, 35, 24, 2, , 
2023/10/8, 30, 29, 5, , 
2023/10/9, 35, 49, 13, , 
2023/10/10, 46, 29, 17, , 
2023/10/11, 41, 25, 5, , 
2023/10/12, 34, 33, 7, , 
2023/10/13, 27, 41, 9, , 
2023/10/14, 31, 26, 3, , 
2023/10/15, 15, 24, 3, , 
2023/10/16, 15, 26, 4, , 
2023/10/17, 17, 38, 13, , 
2023/10/18, 51, 35, 13, , 
2023/10/19, 53, 37, 12, , 
2023/10/20, 44, 53, 17, , 
2023/10/21, 57, 48, 8, , 
2023/10/22, 38, 28, 2, , 
2023/10/23, 23, 29, 5, , 
2023/10/24, 28, 29, 4, , 
2023/10/25, 29, 25, 4, , 
2023/10/26, 34, 18, 5, , 
2023/10/27, 29, 26, 8, , 
2023/10/28, 30, 28, 3, , 
2023/10/29, 27, 33, 3, , 
2023/10/30, 26, 14, 1, , 
2023/10/31, 18, 23, 3, , 
2023/11/1, 21, 26, 7, , 
2023/11/2, 36, 31, 14, , 
2023/11/3, 49, 38, 15, , 
2023/11/4, 48, 35, 10, , 
2023/11/5, 40, 37, 7, , 
2023/11/6, 40, 29, 7, , 
2023/11/7, 22, 26, 6, , 
2023/11/8, 21, 26, 5, , 
2023/11/9, 19, 21, 9, , 
2023/11/10, 35, 13, 1, , 
2023/11/11, 11, 10, , , 
2023/11/12, 24, 13, 2, , 
2023/11/13, 42, 11, 4, , 
2023/11/14, 35, 17, 3, , 
2023/11/15, 37, 26, 5, , 
2023/11/16, 39, 13, 6, , 
2023/11/17, 34, 29, 8, , 
2023/11/18, 34, 21, 8, , 
2023/11/19, 50, 30, 1, , 
2023/11/20, 61, 21, 5, , 
2023/11/21, 34, 23, , , 
2023/11/22, 20, 22, 6, , 
2023/11/23, 40, 13, 9, , 
2023/11/24, 82, 26, 3, , 
2023/11/25, 43, 26, 2, , 
2023/11/26, 48, 17, 2, , 
2023/11/27, 34, 20, 6, , 
2023/11/28, 29, 23, 9, , 
2023/11/29, 44, 31, 15, , 
2023/11/30, 66, 21, 8, , 
2023/12/1, 28, 12, 5, , 
2023/12/2, 40, 9, 5, , 
2023/12/3, 57, 25, 4, , 
2023/12/4, 46, 25, 11, , 
2023/12/5, 29, 20, 11, , 
2023/12/6, 53, 23, 11, , 
2023/12/7, 53, 29, 10, , 
2023/12/8, 54, 20, 3, , 
2023/12/9, 27, 21, 3, , 
2023/12/10, 30, 25, 6, , 
2023/12/11, 23, 21, 18, , 
2023/12/12, 55, 27, 12, , 
2023/12/13, 46, 16, 8, , 
2023/12/14, 48, 25, 6, , 
2023/12/15, 48, 22, 7, , 
2023/12/16, 60, 23, 5, , 
2023/12/17, 30, 25, 8, , 
2023/12/18, 63, 20, 16, , 
2023/12/19, 63, , 11, , 
2023/12/20, 42, 29, 2, , 
2023/12/21, 33, 19, 6, , 
2023/12/22, 46, 17, 7, , 
2023/12/23, 49, 27, 1, , 
2023/12/24, 42, 29, 4, , 
2023/12/25, 24, 22, 3, , 
2023/12/26, 29, 20, 7, , 
2023/12/27, 32, 27, 6, , 
2023/12/28, 36, 15, 7, , 
2023/12/29, 24, 24, 12, , 
2023/12/30, 40, 30, 14, , 
2023/12/31, 62, 34, 16, , 
2024/1/1, 83, 23, 10, , 
2023/7/2, 26, 28, 4, , 
2023/7/3, 31, 43, 6, , 
2023/7/4, 45, 24, 1, , 
2023/7/5, 43, 19, 2, , 
2023/7/6, 36, 11, 4, , 
2023/7/7, 26, 18, 3, , 
2023/7/8, 38, 25, 5, , 
2023/7/9, 33, 22, , , 
2023/7/10, 41, 27, 1, , 
2023/7/11, 53, 26, , , 
2023/7/12, 39, 21, 1, , 
2023/7/14, 54, 24, , , 
2023/7/19, 100, 30, , , 
2023/7/20, 106, 35, 2, , 
2023/7/21, 80, 32, 1, , 
2023/7/22, 52, 33, , , 
2023/7/23, 41, 44, 1, , 
2023/7/24, 33, 59, 4, , 
2023/7/25, 44, 35, 2, , 
2023/7/26, 32, 38, 2, , 
2023/7/27, 72, 42, 2, , 
2023/7/28, 76, 49, 2, , 
2023/7/29, 69, 34, 2, , 
2023/7/30, 65, 43, , , 
2023/7/31, 50, 66, , , 
2023/8/1, 42, 60, 1, , 
2023/8/2, 44, 64, 1, , 
2023/8/3, 37, 35, 2, , 
2023/8/4, 31, 30, 1, , 
2023/8/5, 30, 30, , , 
2023/8/6, 45, 23, , , 
2023/8/7, 27, 30, , , 
2023/8/8, 32, 30, , , 
2023/8/9, 28, 22, 1, , 
2023/8/10, 33, 29, 1, , 
2023/8/11, 33, 26, 1, , 
2023/8/12, 38, 26, , , 
2023/8/13, 41, 25, , , 
2023/8/14, 45, 37, 1, , 
2023/8/15, 36, 47, 4, , 
2023/8/16, 34, 49, 5, , 
2023/8/17, 31, 47, 3, , 
2023/8/18, 41, 56, 2, , 
2023/8/19, 34, 43, 1, , 
2023/8/20, 38, 41, 1, , 
2023/8/21, 41, 37, 3, , 
2023/8/22, 39, 22, 1, , 
2023/8/23, 36, 41, 4, , 
2023/8/24, 43, 46, 5, , 
2023/8/25, 54, 50, 8, , 
2023/8/26, 56, 57, 5, , 
2023/8/27, 49, 46, 1, , 
2023/8/28, 45, 47, 5, , 
2023/8/29, 37, 41, 4, , 
2023/8/30, 38, 42, 6, , 
2023/8/31, 46, 43, 10, , 
2023/9/1, 58, 53, 13, , 
2023/9/2, 62, 57, 7, , 
2023/9/3, 51, 44, 1, , 
2023/9/4, 35, 24, 1, , 
2023/9/5, 35, 23, 2, , 
2023/9/6, 29, 44, 5, , 
2023/9/7, 30, 48, 2, , 
2023/9/8, 23, 46, 3, , 
2023/9/9, 28, 47, 3, , 
2023/9/10, 31, 42, 7, , 
2023/9/11, 45, 65, 7, , 
2023/9/12, 49, 70, 9, , 
2023/9/13, 47, 51, 6, , 
2023/9/14, 40, 27, 5, , 
2023/9/15, 39, 32, 8, , 
2023/9/16, 44, 32, 5, , 
2023/9/17, 30, 42, 6, , 
2023/9/18, 51, 48, 14, , 
2023/9/19, 55, 61, 13, , 
2023/9/20, 51, 48, 11, , 
2023/9/21, 43, 37, 2, , 
2023/9/22, 29, 28, 4, , 
2023/9/23, 17, 31, 4, , 
2023/9/24, 19, 29, 1, , 
2023/9/25, 19, 36, 6, , 
2023/9/26, 31, 42, 6, , 
2023/9/27, 36, 46, 9, , 
2023/9/28, 45, 44, 8, , 
2023/9/29, 46, 35, 8, , 
2023/9/30, 38, 35, 4, , 
2023/10/1, 26, 42, 6, , 
2023/4/2, 45, 20, 5, , 
2023/4/3, 51, 21, , , 
2023/4/4, 57, 17, , , 
2023/4/5, 60, 26, , , 
2023/4/6, 48, 24, , , 
2023/4/7, 29, 17, , , 
2023/4/8, 12, 15, , , 
2023/4/9, 17, 20, , , 
2023/4/10, 22, 14, 1, , 
