date, pm25, pm10, o3, no2, so2, co
2024/4/2, 22, 15, , 5, 4, 1
2024/4/3, 21, 18, , 6, 4, 2
2024/4/4, 23, 11, , 3, 4, 1
2024/4/5, 19, 13, , 5, 4, 2
2024/4/6, 22, 18, , 6, 4, 2
2024/4/7, 27, 28, , 5, 4, 1
2024/4/8, 23, 19, , 1, 4, 1
2024/4/9, 23, 35, , 5, 4, 1
2024/4/10, 27, 12, , 1, 4, 
2024/4/11, 20, 8, , 2, 4, 1
2024/4/12, 19, 224, , 6, 3, 1
2024/4/13, 42, 101, , 2, 3, 
2024/4/14, 57, , , , , 
2024/1/2, 55, 11, , 6, 4, 2
2024/1/3, 41, 16, , 6, 4, 3
2024/1/4, 57, 28, , 6, 4, 4
2024/1/5, 80, 28, , 6, 4, 3
2024/1/6, 72, 28, , 7, 4, 3
2024/1/7, 75, 35, , 9, 4, 5
2024/1/8, 91, 52, , 15, 4, 5
2024/1/9, 119, 59, , 11, 4, 6
2024/1/10, 150, 64, , 13, 4, 7
2024/1/11, 159, 65, , 16, 4, 7
2024/1/12, 159, 45, , 9, 4, 5
2024/1/13, 118, 8, , 5, 4, 1
2024/1/14, 24, 14, , 8, 4, 2
2024/1/15, 31, 33, , 13, 4, 3
2024/1/16, 74, 42, , 17, 4, 4
2024/1/17, 103, 37, , 13, 4, 2
2024/1/18, 79, 10, , 6, 4, 2
2024/1/19, 37, 15, , 7, 4, 2
2024/1/20, 48, 28, , 16, 4, 4
2024/1/21, 72, 35, , 17, 3, 4
2024/1/22, 86, 45, , 16, 4, 4
2024/1/23, 101, 52, , 19, 4, 5
2024/1/24, 115, 54, , 20, 3, 5
2024/1/25, 137, 65, , 18, 4, 6
2024/1/26, 156, 75, , 23, 4, 7
2024/1/27, 168, 82, , 23, 4, 7
2024/1/28, 173, 78, , 22, 4, 7
2024/1/29, 170, 86, , 25, 4, 8
2024/1/30, 173, 93, , 28, 4, 8
2024/1/31, 181, 88, , 24, 4, 8
2024/2/1, 173, 79, , 22, 4, 8
2024/2/2, 159, 72, , 20, 4, 8
2024/2/3, 147, 80, , 17, 4, 8
2024/2/4, 159, 81, , 19, 5, 9
2024/2/5, 159, 80, , 20, 4, 9
2024/2/6, 159, 75, , 21, 4, 8
2024/2/7, 154, 74, , 20, 4, 8
2024/2/8, 156, 74, , 19, 4, 9
2024/2/9, 159, 69, , 14, 5, 8
2024/2/10, 156, 106, , 17, 11, 8
2024/2/11, 188, 79, , 15, 5, 9
2024/2/12, 164, 110, , 14, 6, 11
2024/2/13, 193, 31, , 6, 4, 4
2024/2/14, 54, 20, , 6, 4, 1
2024/2/15, 48, 33, , 11, 4, 3
2024/2/16, 85, 53, , 9, 5, 2
2024/2/17, 84, 57, , 3, 4, 1
2024/2/18, 40, 26, , 3, 5, 1
2024/2/19, 41, 32, , 6, 4, 2
2024/2/20, 52, 25, , 4, 4, 2
2024/2/21, 46, 22, , 6, 4, 2
2024/2/22, 51, 26, , 8, 5, 2
2024/2/23, 68, 27, , 5, 4, 2
2024/2/24, 47, 45, , 8, 5, 4
2024/2/25, 75, 60, , 8, 4, 3
2024/2/26, 108, 39, , 8, 4, 3
2024/2/27, 76, 39, , 9, 4, 3
2024/2/28, 69, 45, , 9, 4, 3
