date, pm25, pm10, o3, no2, so2, co
2024/4/2, 40, 50, 24, 22, , 3
2024/4/3, 49, 62, 7, 31, , 5
2024/4/4, 59, 53, 39, 27, , 3
2024/4/5, 59, 49, 49, 21, , 5
2024/4/6, 50, 43, 45, 16, , 2
2024/4/7, 46, 39, 61, 13, , 3
2024/4/8, 45, 43, 36, 19, , 2
2024/4/9, 53, 50, 44, 21, , 4
2024/4/10, 59, 53, 47, 21, , 3
2024/4/11, 68, 51, 12, 28, , 5
2024/4/12, 57, 58, 7, 26, , 3
2024/4/13, 54, , , , , 
2024/1/2, 49, 36, 41, 10, , 3
2024/1/3, 45, 43, 47, 20, , 2
2024/1/4, 54, 47, 48, 12, , 4
2024/1/5, 60, 43, 36, 14, , 3
2024/1/6, 57, 38, 39, 11, , 5
2024/1/7, 53, 26, 36, 6, , 2
2024/1/8, 37, 33, 39, 8, , 3
2024/1/9, 40, 36, 40, 9, , 2
2024/1/10, 42, 41, 48, 10, , 4
2024/1/11, 47, 47, 44, 11, , 3
2024/1/12, 54, 48, 44, 11, , 3
2024/1/13, 59, 46, 41, 9, , 3
2024/1/14, 67, 31, 50, 7, , 2
2024/1/15, 45, 46, 41, 11, , 4
2024/1/16, 70, 33, 44, 8, , 2
2024/1/17, 38, 46, 51, 11, , 2
2024/1/18, 55, 45, 50, 10, , 1
2024/1/19, 55, 48, 69, 11, , 4
2024/1/20, 58, 50, 60, 10, , 2
2024/1/21, 63, 47, 59, 8, , 3
2024/1/22, 64, 47, 58, 11, , 2
2024/1/23, 63, 52, 54, 12, , 3
2024/1/24, 68, 49, 67, 13, , 3
2024/1/25, 61, 52, 55, 14, , 2
2024/1/26, 59, 44, 38, 14, , 3
2024/1/27, 58, 41, 60, 10, , 2
2024/1/28, 53, 40, 40, 8, , 3
2024/1/29, 56, 45, 52, 10, , 2
2024/1/30, 55, 51, 73, 12, , 3
2024/1/31, 65, 47, 62, 11, , 2
2024/2/1, 58, 45, 60, 11, , 3
2024/2/2, 64, 48, 60, 10, , 3
2024/2/3, 62, 43, 69, 8, , 2
2024/2/4, 57, 50, 54, 7, , 3
2024/2/5, 83, 52, 64, 11, , 3
2024/2/6, 80, 48, 55, 10, , 3
2024/2/7, 66, 42, 64, 10, , 2
2024/2/8, 52, 37, 42, 8, , 3
2024/2/9, 43, 38, 39, 10, , 2
2024/2/10, 48, 37, 46, 8, , 3
2024/2/11, 52, 35, 39, 8, , 1
2024/2/12, 52, 40, 51, 10, , 3
2024/2/13, 54, 46, 53, 11, , 1
2024/2/14, 54, 51, 64, 13, , 4
2024/2/15, 61, 50, 73, 14, , 3
2024/2/16, 63, 52, 64, 13, , 3
2024/2/17, 65, 43, 67, 10, , 2
2024/2/18, 60, 37, 58, 7, , 2
2024/2/19, 50, 47, 42, 11, , 3
2024/2/20, 62, 42, 50, 10, , 2
2024/2/21, 55, 40, 37, 10, , 2
2024/2/22, 52, 20, 6, 8, , 1
2024/2/23, 33, 23, 38, 10, , 2
2024/2/24, 38, 29, 46, 9, , 1
2024/2/25, 48, 31, 48, 8, , 2
2024/2/26, 52, 39, 45, 11, , 2
2024/2/27, 56, 40, 54, 11, , 3
2024/2/28, 48, 39, 59, 11, , 3
2024/2/29, 39, 44, 73, 12, , 2
2024/3/1, 46, , , , , 
2024/3/5, 54, 47, 51, 15, , 3
2024/3/6, 48, 48, 54, 14, , 2
2024/3/7, 49, 42, 37, 14, , 1
2024/3/8, 44, 36, 32, 15, , 3
2024/3/9, 21, 36, 50, 12, , 1
2024/3/10, 5, 38, 50, 9, , 3
2024/3/11, 8, 44, 39, 14, , 2
2024/3/12, 28, 39, 41, 14, , 3
2024/3/13, 41, 41, 47, 14, , 2
2024/3/14, 38, 45, 52, 15, , 2
2024/3/15, 42, 49, 54, 18, , 3
2024/3/16, 49, 46, 60, 13, , 3
2024/3/17, 53, 38, 59, 10, , 2
2024/3/18, 46, 45, 50, 29, , 3
2024/3/19, 49, 51, 42, 19, , 3
2024/3/20, 49, 53, 13, 23, , 3
2024/3/21, 56, 55, 52, 25, , 4
2024/3/22, 57, 46, 58, 20, , 2
2024/3/23, 46, 36, 52, 13, , 3
2024/3/24, 37, 35, 59, 12, , 2
2024/3/25, 41, 42, 41, 16, , 3
2024/3/26, 44, 48, 51, 18, , 2
2024/3/27, 51, 48, 52, 18, , 4
2024/3/28, 51, 45, 49, 17, , 3
2024/3/29, 49, 43, 70, 13, , 2
2024/3/30, 55, 40, 67, 9, , 3
2024/3/31, 59, 31, 41, 9, , 2
2024/4/1, 34, 42, 28, 17, , 3
2023/10/2, 72, 24, 20, 13, , 2
2023/10/3, 48, 20, 22, 13, , 3
2023/10/4, 46, 31, 32, 15, , 3
2023/10/5, 49, 36, 31, 16, , 4
2023/10/6, 52, 37, 26, 15, , 3
2023/10/7, 61, 33, 39, 13, , 3
2023/10/8, 56, 32, 48, 10, , 3
2023/10/9, 55, 28, 48, 10, , 3
2023/10/10, 48, 40, 16, 20, , 4
2023/10/11, 52, 42, 30, 17, , 3
2023/10/12, 62, 42, 42, 16, , 3
2023/10/13, 59, 44, 43, 19, , 4
2023/10/14, 59, 37, 48, 12, , 4
2023/10/15, 49, 30, 42, 10, , 1
2023/10/16, 47, 36, 37, 12, , 4
2023/10/17, 50, 46, 44, 17, , 3
2023/10/18, 53, 36, 33, 9, , 2
2023/10/19, 53, 38, 38, 16, , 3
2023/10/20, 55, 55, 13, 24, , 6
2023/10/21, 71, 64, 7, 23, , 6
2023/10/22, 96, 54, 37, 16, , 5
2023/10/23, 90, 34, 8, 11, , 4
2023/10/24, 66, , , , , 
2023/12/14, 53, 43, 35, 15, , 3
2023/12/15, 53, 46, 42, 17, , 3
2023/12/16, 57, 36, 26, 12, , 3
2023/12/17, 52, 21, 35, 7, , 2
2023/12/18, 37, 32, 40, 11, , 3
2023/12/19, 40, 45, 38, 13, , 2
2023/12/20, 66, 61, 58, 16, , 5
2023/12/21, 110, 59, 53, 17, , 3
2023/12/22, 104, 45, 58, 14, , 4
2023/12/23, 66, 40, 51, 12, , 2
2023/12/24, 55, 39, 44, 10, , 4
2023/12/25, 54, 35, 58, 9, , 3
2023/12/26, 53, 45, 40, 15, , 4
2023/12/27, 57, 45, 39, 13, , 3
2023/12/28, 54, 42, 9, 14, , 3
2023/12/29, 59, 44, 47, 13, , 5
2023/12/30, 60, 33, 32, 11, , 4
2023/12/31, 53, 28, 37, 7, , 3
2024/1/1, 46, 32, 37, 9, , 5
2023/7/2, 45, 47, 7, 15, , 5
2023/7/3, 90, 41, 9, 23, , 6
2023/7/4, 64, 36, 11, 18, , 5
2023/7/5, 53, 41, 12, 17, , 5
2023/7/6, 64, 46, 4, 21, , 7
2023/7/7, 64, 54, 2, 24, , 7
2023/7/8, 84, 42, 8, 26, , 7
2023/7/9, 65, 45, 7, 17, , 6
2023/7/10, 80, 36, 10, 27, , 4
2023/7/11, 51, 47, 4, 23, , 1
2023/7/12, 82, 9, 16, 9, , 2
2023/7/13, 15, 31, 9, 25, , 5
2023/7/14, 38, 46, 3, 35, , 9
2023/7/15, 63, 71, 3, 41, , 12
2023/7/16, 123, 36, 15, 25, , 5
2023/7/17, 66, 42, 7, 29, , 8
2023/7/18, 57, 42, 3, 37, , 7
2023/7/19, 53, 45, 3, 35, , 8
2023/7/20, 57, 48, , 42, , 9
2023/7/21, 118, 58, , 40, , 9
2023/7/22, 129, 6, , 21, , 10
2023/7/24, 66, 41, , 26, , 7
2023/7/25, 61, 37, 51, 25, , 356
2023/7/26, 58, 51, 16, 28, , 8
2023/7/27, 82, 64, 10, 42, , 9
2023/7/28, 109, 51, 11, 42, , 8
2023/7/29, 72, 58, 21, 44, , 7
2023/7/30, 90, 56, 28, 31, , 7
2023/7/31, 99, 54, 22, 43, , 6
2023/8/1, 91, 67, 27, 42, , 7
2023/8/2, 109, 73, 23, 49, , 7
2023/8/3, 119, 59, 21, 45, , 7
2023/8/4, 94, 53, 24, 41, , 5
2023/8/5, 76, 50, 18, 27, , 5
2023/8/6, 93, 44, 24, 20, , 4
2023/8/7, 88, 50, 6, 38, , 8
2023/8/8, 81, 65, 16, 45, , 7
2023/8/9, 102, 73, 5, 48, , 8
2023/8/10, 116, 17, 19, 12, , 1
2023/8/11, 33, 34, 11, 22, , 4
2023/8/12, 55, 48, 20, 29, , 6
2023/8/13, 84, 32, 34, 23, , 4
2023/8/14, 61, 36, 21, 30, , 5
2023/8/15, 55, 39, 8, 21, , 4
2023/8/16, 76, 25, 6, 16, , 3
2023/8/17, 50, 29, 10, 19, , 4
2023/8/18, 53, 33, 9, 24, , 4
2023/8/19, 55, 20, 12, 20, , 4
2023/8/20, 46, 19, 5, 18, , 6
2023/8/21, 43, 29, 6, 19, , 5
2023/8/22, 37, 8, 16, 6, , 2
2023/8/23, 16, 6, 20, 13, , 2
2023/8/24, 30, 22, 13, 21, , 2
2023/8/25, 47, 35, 17, 25, , 5
2023/8/26, 60, 38, 26, 22, , 4
2023/8/27, 66, 31, 30, 22, , 4
2023/8/28, 61, 36, 14, 24, , 4
2023/8/29, 53, 32, 18, 26, , 4
2023/8/30, 47, 39, 23, 22, , 4
2023/8/31, 54, 50, 24, 26, , 4
2023/9/1, 72, 58, 6, 31, , 6
2023/9/2, 75, 42, 12, 22, , 5
2023/9/3, 73, 32, 24, 14, , 4
2023/9/4, 68, 31, 6, 21, , 5
2023/9/5, 57, 36, 2, 23, , 7
2023/9/6, 58, 13, 18, 22, , 8
2023/9/7, 35, 24, 15, 20, , 3
2023/9/8, 46, 39, 8, 29, , 5
2023/9/9, 66, 45, 6, 31, , 7
2023/9/10, 73, 44, 4, 29, , 8
2023/9/11, 73, 10, 24, 11, , 2
2023/9/12, 21, 28, 17, 17, , 3
2023/9/13, 46, 37, 17, 24, , 3
2023/9/14, 63, 58, 25, 36, , 7
2023/9/15, 84, 45, 36, 24, , 3
2023/9/16, 66, 26, 26, 11, , 4
2023/9/17, 46, 12, 17, 8, , 1
2023/9/18, 36, 35, 15, 14, , 6
2023/9/19, 81, 46, 23, 18, , 6
2023/9/20, 99, 36, 16, 17, , 5
2023/9/21, 60, 36, 19, 18, , 3
2023/9/22, 54, 43, 6, 26, , 6
2023/9/23, 62, 59, 11, 28, , 6
2023/9/24, 94, 40, 37, 16, , 3
2023/9/25, 82, 36, 25, 13, , 2
2023/9/26, 61, 20, 23, 13, , 1
2023/9/27, 35, 38, 30, 19, , 3
2023/9/28, 54, 41, 29, 20, , 1
2023/9/29, 61, 47, 42, 21, , 3
2023/9/30, 70, 47, 55, 17, , 1
2023/10/1, 70, 39, 16, 15, , 3
2023/4/2, 49, 43, 50, 12, , 2
2023/4/3, 52, 46, 27, 20, , 3
2023/4/4, 52, 53, 53, 24, , 4
2023/4/5, 58, 53, 35, 24, , 4
2023/4/6, 54, 52, 45, 24, , 3
2023/4/7, 55, 44, 61, 14, , 2
2023/4/8, 51, 35, 56, 11, , 2
2023/4/9, 43, 39, 59, 12, , 2
2023/4/10, 50, 48, 47, 22, , 3
2023/4/11, 58, 50, 40, 20, , 3
2023/4/12, 59, 49, 17, 24, , 4
2023/4/13, 51, 40, 25, 17, , 3
2023/4/14, 47, 49, 15, 20, , 4
2023/4/15, 58, 55, 33, 16, , 4
2023/4/16, 76, 46, 34, 12, , 4
2023/4/17, 70, 45, 28, 16, , 3
2023/4/18, 61, 50, 23, 24, , 3
2023/4/19, 59, 53, 23, 31, , 5
2023/4/20, 54, 52, 26, 24, , 4
2023/4/21, 47, 48, 16, 24, , 5
2023/4/22, 64, 57, 39, 23, , 5
2023/4/23, 77, 47, 37, 18, , 4
2023/4/24, 69, 46, 27, 26, , 5
2023/4/25, 59, 47, 28, 29, , 4
2023/4/26, 54, 66, 25, 36, , 6
2023/4/27, 76, 78, 30, 39, , 7
2023/4/28, 114, 75, 13, 30, , 6
2023/4/29, 115, 36, 8, 19, , 4
2023/4/30, 53, 10, 16, 6, , 2
2023/5/1, 16, 21, 24, 12, , 3
2023/5/2, 41, 39, 18, 24, , 5
2023/5/3, 65, 52, 19, 31, , 6
2023/5/4, 86, 65, 16, 39, , 7
2023/5/5, 113, 67, 26, 36, , 7
2023/5/6, 119, 66, 16, 30, , 6
2023/5/7, 128, 52, 32, 28, , 6
2023/5/8, 104, 44, 21, 35, , 6
2023/5/9, 62, 54, 20, 44, , 7
2023/5/10, 80, 59, 18, 47, , 6
2023/5/11, 81, 61, 23, 40, , 7
2023/5/12, 80, 55, 18, 37, , 6
2023/5/13, 67, 51, 31, 34, , 6
2023/5/14, 71, 42, 40, 21, , 4
2023/5/15, 66, 60, 10, 24, , 6
2023/5/16, 101, 63, 19, 25, , 6
2023/5/17, 106, 22, 10, 15, , 4
2023/5/18, 39, 36, 13, 22, , 5
2023/5/19, 52, 52, 17, 27, , 6
2023/5/20, 80, 51, 27, 27, , 6
2023/5/21, 88, 56, 9, 29, , 7
2023/5/22, 100, 35, 11, 23, , 6
2023/5/23, 46, 35, 2, 25, , 6
2023/5/24, 49, 40, 2, 26, , 8
2023/5/25, 61, 51, 13, 26, , 7
2023/5/26, 66, 33, 9, 23, , 5
2023/5/27, 44, 51, 10, 32, , 8
2023/5/28, 80, 48, 9, 33, , 8
2023/5/29, 88, 72, 15, 44, , 10
2023/5/30, 132, 68, 4, 48, , 10
2023/5/31, 105, 66, 14, 45, , 8
2023/6/1, 112, 54, 15, 33, , 6
2023/6/2, 78, 49, 11, 27, , 6
2023/6/3, 78, 44, 4, 23, , 7
2023/6/4, 75, 41, 16, 22, , 6
2023/6/5, 72, 52, 11, 39, , 7
2023/6/6, 78, 64, 3, 44, , 10
2023/6/7, 90, 48, 6, 34, , 6
2023/6/8, 62, 54, 9, 32, , 7
2023/6/9, 75, 22, 8, 17, , 3
2023/6/10, 49, 28, 5, 17, , 4
2023/6/11, 127, 37, 13, 18, , 5
2023/6/12, 80, 42, 8, 27, , 6
2023/6/13, 70, 40, 7, 35, , 14
2023/6/14, 57, 46, 5, 39, , 8
2023/6/15, 63, 53, 7, 42, , 9
2023/6/16, 78, 49, 9, 41, , 10
2023/6/17, 72, 35, 13, 29, , 7
2023/6/18, 50, 38, 17, 17, , 4
2023/6/19, 76, 51, 12, 22, , 7
2023/6/20, 87, 67, 3, 31, , 6
2023/6/21, 109, 53, 12, 21, , 6
2023/6/22, 81, 15, 9, 15, , 1
2023/6/23, 33, 13, 13, 11, , 5
2023/6/24, 19, 21, 10, 11, , 5
2023/6/25, 35, 31, 2, 15, , 7
2023/6/26, 61, 33, , 12, , 7
2023/6/27, 63, 38, 7, 18, , 4
2023/6/28, 50, 51, 1, 25, , 12
2023/6/29, 56, 45, 6, 28, , 8
2023/6/30, 53, 46, 9, 29, , 8
2023/7/1, 66, 31, 13, 19, , 4
2023/1/3, 44, 32, 43, 9, , 3
2023/1/4, 46, 44, 48, 12, , 2
2023/1/5, 54, 49, 39, 13, , 3
2023/1/6, 65, 43, 41, 13, , 2
2023/1/7, 59, 42, 49, 10, , 2
2023/1/8, 55, 36, 41, 8, , 2
2023/1/9, 50, 38, 35, 9, , 2
2023/1/10, 45, 37, 38, 10, , 2
2023/1/11, 43, 40, 51, 10, , 2
2023/1/12, 49, 40, 39, 11, , 2
2023/1/13, 40, 39, 47, 11, , 1
2023/1/14, 42, 37, 40, 9, , 1
2023/1/15, 46, 33, 45, 7, , 1
2023/1/16, 42, 45, 43, 10, , 2
2023/1/17, 54, 48, 41, 12, , 2
2023/1/18, 56, 52, 59, 14, , 3
2023/1/19, 62, 50, 36, 14, , 3
2023/1/20, 64, 44, 48, 10, , 2
2023/1/21, 59, 42, 54, 10, , 3
2023/1/22, 51, 38, 54, 7, , 2
2023/1/23, 53, 39, 45, 10, , 2
2023/1/24, 47, 39, 51, 10, , 3
2023/1/25, 50, 38, 44, 9, , 2
2023/1/26, 43, 38, 42, 11, , 2
2023/1/27, 44, 44, 50, 13, 1, 2
2023/1/28, 46, 43, 65, 10, 1, 2
2023/1/29, 51, 37, 53, 8, , 2
