date, pm25, pm10, o3, no2, so2
2024/4/2, 18, 12, 38, 8, 1
2024/4/3, 27, 14, 36, 14, 1
2024/4/4, 25, 17, 39, 6, 1
2024/4/5, 32, 16, 43, 6, 1
2024/4/6, 33, 20, 35, 9, 1
2024/4/7, 32, 20, 38, 10, 1
2024/4/8, 28, 15, 41, 3, 1
2024/4/9, 13, 15, 39, 6, 1
2024/4/10, 18, 15, 37, 9, 1
2024/4/11, 34, 13, 31, 14, 1
2024/4/12, 39, 22, 41, 13, 1
2024/4/13, 49, , , , 
2024/1/2, 73, 19, 28, 6, 1
2024/1/3, 50, 8, 25, 15, 1
2024/1/4, 20, 9, 28, 10, 1
2024/1/5, 24, 9, 31, 12, 1
2024/1/6, 16, 16, 19, 21, 1
2024/1/7, 36, 23, 11, 16, 1
2024/1/8, 70, 22, 15, 9, 1
2024/1/9, 74, 7, 13, 8, 1
2024/1/10, 23, 17, 4, 22, 2
2024/1/11, 47, 16, 20, 15, 1
2024/1/12, 44, 9, 18, 6, 1
2024/1/13, 38, 15, 18, 10, 1
2024/1/14, 39, 36, 24, 9, 1
2024/1/15, 59, 27, 25, 5, 1
2024/1/16, 38, 31, 35, 5, 2
2024/1/17, 45, 19, 34, 3, 2
2024/1/18, 35, 15, 24, 12, 2
2024/1/19, 27, 7, 24, 7, 2
2024/1/20, 17, 13, 30, 11, 2
2024/1/21, 25, 17, 19, 15, 2
2024/1/22, 45, 24, 17, 17, 2
2024/1/23, 72, 18, 14, 13, 2
2024/1/24, 57, 14, 14, 14, 8
2024/1/25, 47, 19, 15, 15, 4
2024/1/26, 61, 20, 14, 17, 
2024/1/27, 59, 21, 28, 11, 
2024/1/28, 61, 19, 29, 6, 
2024/1/29, 65, 19, 19, 14, 
2024/1/30, 60, 22, 21, 11, 
2024/1/31, 62, 18, 18, 11, 
2024/2/1, 55, 24, 21, 16, 
2024/2/2, 60, 41, 17, 21, 1
2024/2/3, 79, 35, 24, 16, 
2024/2/4, 73, 29, 22, 18, 1
2024/2/5, 70, 33, 15, 19, 1
2024/2/6, 81, 37, 27, 18, 1
2024/2/7, 81, 32, 33, 8, 1
2024/2/8, 51, 20, 34, 3, 1
2024/2/9, 40, 13, 33, 5, 1
2024/2/10, 20, 10, 32, 11, 1
2024/2/11, 16, 14, 22, 9, 1
2024/2/12, 35, 13, 28, 8, 1
2024/2/13, 36, 16, 18, 6, 1
2024/2/14, 39, 12, 23, 6, 1
2024/2/15, 34, 22, 36, 7, 1
2024/2/16, 40, 11, 28, 20, 1
2024/2/17, 16, 16, 29, 13, 1
2024/2/18, 35, 17, 26, 10, 1
2024/2/19, 47, 15, 18, 12, 1
2024/2/20, 39, 20, 24, 21, 1
2024/2/21, 49, 23, 22, 19, 1
2024/2/22, 47, 14, 37, 9, 1
2024/2/23, 32, 13, 34, 6, 1
2024/2/24, 20, 16, 35, 7, 1
2024/2/25, 23, 16, 35, 4, 1
2024/2/26, 28, , , , 
2024/3/1, 19, 17, 34, 14, 2
2024/3/2, 30, 17, 33, 7, 2
2024/3/3, 30, 12, 35, 8, 2
2024/3/4, 25, 15, 35, 11, 
2024/3/5, 29, 16, 30, 14, 
2024/3/6, 21, 18, 35, 12, 
2024/3/7, 35, 11, 36, 5, 
2024/3/8, 16, 14, 33, 7, 
2024/3/9, 17, , , , 
2024/3/20, 39, 12, 34, 9, 
2024/3/21, 18, 20, 26, 9, 
2024/3/22, 42, 43, 24, 13, 
2024/3/23, 54, 52, 26, 9, 
2024/3/24, 68, 36, 32, 8, 
2024/3/25, 56, 20, 38, 4, 
2024/3/26, 27, 10, 33, 6, 
2024/3/27, 19, 16, 37, 5, 1
2024/3/28, 26, 16, 38, 5, 1
2024/3/29, 26, 9, 40, 11, 1
2024/3/30, 21, 7, 37, 6, 1
2024/3/31, 20, 6, 42, 7, 1
2024/4/1, 11, 13, 41, 10, 1
2023/10/2, 41, 26, 30, 17, 2
2023/10/3, 50, 25, 30, 8, 2
2023/10/4, 41, 16, 27, 11, 2
2023/10/5, 38, 13, 29, 11, 2
2023/10/6, 32, 19, 38, 21, 2
2023/10/7, 45, 31, 40, 21, 2
2023/10/8, 62, 28, 37, 17, 2
2023/10/9, 56, 28, 42, 17, 2
2023/10/10, 56, 29, 43, 19, 2
2023/10/11, 53, 30, 33, 28, 2
2023/10/12, 61, 31, 39, 20, 2
2023/10/13, 57, 31, 31, 10, 2
2023/10/14, 61, 19, 30, 10, 2
2023/10/15, 36, 19, 22, 11, 2
2023/10/16, 37, 17, 20, 7, 2
2023/10/17, 28, 18, 23, 4, 2
2023/10/18, 26, 17, 29, 5, 2
2023/10/19, 23, 13, 32, 4, 
2023/10/20, 19, 14, 34, 9, 
2023/10/21, 20, 16, 25, 14, 
2023/10/22, 37, 8, 25, 2, 
2023/10/23, 22, 11, 26, 18, 
2023/10/24, 21, 15, 25, 15, 
2023/10/25, 29, 22, 22, 10, 
2023/10/26, 30, 16, 21, 8, 
2023/10/27, 20, 16, 26, 12, 
2023/10/28, 28, 14, 32, 4, 
