date, pm25, pm10, o3, no2, so2, co
2024/4/2, 55, 11, 34, 22, , 1
2024/4/3, 106, 12, 32, 21, , 1
2024/4/4, 30, 18, 35, 20, 1, 1
2024/4/5, 39, 16, 32, 11, , 1
2024/4/6, 42, 18, 42, 11, , 1
2024/4/7, 48, 21, 36, 9, , 1
2024/4/8, 46, 21, 34, 16, , 1
2024/4/9, 46, 14, 34, 12, , 1
2024/4/10, 32, 16, 30, 13, , 1
2024/4/11, 37, 11, 27, 11, , 1
2024/4/12, 28, 15, 27, 18, , 1
2024/4/13, 37, , , , , 
2024/1/2, 32, 10, 32, 11, , 1
2024/1/3, 29, 16, 29, 15, 2, 1
2024/1/4, 38, 14, 24, 19, 1, 2
2024/1/5, 36, 14, 23, 18, , 2
2024/1/6, 39, 13, 15, 20, , 1
2024/1/7, 37, 13, 27, 15, , 1
2024/1/8, 34, 20, 25, 18, , 1
2024/1/9, 37, 23, 22, 19, , 2
2024/1/10, 44, 26, 24, 17, 1, 1
2024/1/11, 39, 25, 20, 23, 1, 1
2024/1/12, 41, 16, 24, 19, 3, 1
2024/1/13, 35, 26, 18, 21, 2, 2
2024/1/14, 67, 24, 21, 17, 1, 2
2024/1/15, 60, 30, 18, 27, 1, 3
2024/1/16, 47, 51, 19, 40, 2, 4
2024/1/17, 66, 40, 14, 35, 3, 3
2024/1/18, 64, 39, 14, 33, 3, 3
2024/1/19, 64, 38, 13, 37, 2, 4
2024/1/20, 67, 18, 16, 12, , 2
2024/1/21, 38, 24, 31, 14, 2, 2
2024/1/22, 52, 16, 43, 18, 2, 1
2024/1/23, 39, 12, 25, 19, 1, 2
2024/1/24, 32, 36, 27, 15, 1, 3
2024/1/25, 62, 26, 20, 21, , 2
2024/1/26, 53, 20, 27, 18, 2, 2
2024/1/27, 42, 22, 22, 22, , 2
2024/1/28, 49, 21, 16, 20, 1, 3
2024/1/29, 53, 22, 16, 17, 1, 1
2024/1/30, 59, 15, 22, 15, , 2
2024/1/31, 28, 15, 25, 15, , 1
2024/2/1, 40, 27, 25, 23, , 3
2024/2/2, 50, 20, 24, 19, , 2
2024/2/3, 41, 11, 26, 16, , 1
2024/2/4, 29, 15, 27, 13, , 1
2024/2/5, 35, 27, 28, 15, 1, 1
2024/2/6, 53, 22, 28, 10, 1, 1
2024/2/7, 53, 20, 24, 20, 1, 1
2024/2/8, 40, 18, 23, 23, 1, 1
2024/2/9, 43, 12, 31, 15, 1, 
2024/2/10, 32, 12, 25, 18, 1, 1
2024/2/11, 38, 16, 18, 17, 1, 1
2024/2/12, 48, 14, 25, 19, , 1
2024/2/13, 39, 13, 26, 20, , 1
2024/2/14, 35, 15, 27, 18, , 1
2024/2/15, 38, 16, 19, 23, , 1
2024/2/16, 45, 18, 26, 20, , 1
2024/2/17, 48, 14, 28, 20, , 1
2024/2/18, 38, 13, 26, 14, , 1
2024/2/19, 40, 19, 22, 20, , 1
2024/2/20, 49, 23, 24, 20, , 1
2024/2/21, 52, 12, 30, 18, 1, 1
2024/2/22, 31, 8, 30, 15, 2, 1
2024/2/23, 23, 11, 28, 22, 2, 2
2024/2/24, 34, 17, 10, 24, 1, 3
2024/2/25, 48, 25, 24, 19, 2, 3
2024/2/26, 62, 13, 29, 7, 1, 1
2024/2/27, 33, 18, 23, 22, , 1
2024/2/28, 39, 17, 24, 24, , 1
2024/2/29, 43, 11, 27, 15, , 1
2024/3/1, 26, 11, 32, 11, , 1
2024/3/2, 29, 11, 28, 15, , 1
2024/3/3, 33, 19, 23, 23, 1, 2
2024/3/4, 56, 19, 32, 23, , 2
2024/3/5, 48, 23, 25, 22, , 1
2024/3/6, 43, 40, 15, 28, , 2
2024/3/7, 83, 42, 21, 21, , 1
2024/3/8, 98, 39, 22, 20, 1, 2
2024/3/9, 93, 30, 22, 22, 2, 3
2024/3/10, 73, 22, 22, 21, 2, 7
2024/3/11, 67, 46, 15, 21, 2, 6
2024/3/12, 107, 30, 17, 26, 1, 5
2024/3/13, 78, 15, 24, 17, 1, 6
2024/3/14, 46, 17, 28, 19, 1, 2
2024/3/15, 45, 19, 29, 17, 1, 
2024/3/16, 49, 15, 27, 19, 1, 
2024/3/17, 43, 15, 18, 16, 1, 
2024/3/18, 44, 19, 27, 18, 1, 1
2024/3/19, 45, 17, 26, 18, 1, 
2024/3/20, 35, 22, 26, 23, , 
2024/3/21, 48, 17, 23, 19, , 
2024/3/22, 47, 20, 24, 18, , 
2024/3/23, 54, 15, 32, 14, , 
2024/3/24, 39, 17, 28, 15, 1, 
2024/3/25, 44, 20, 31, 20, 1, 1
2024/3/26, 47, 23, 30, 26, 2, 1
2024/3/27, 52, 24, 32, 24, 2, 1
2024/3/28, 63, 22, 34, 20, 2, 
2024/3/29, 329, 13, 35, 10, 1, 
2024/3/30, 25, 16, 38, 23, 1, 1
2024/3/31, 37, 25, 26, 16, 1, 1
2024/4/1, 69, 15, 33, 12, 1, 1
2023/10/2, 46, 19, 17, 21, , 2
2023/10/3, 48, 14, 23, 19, , 2
2023/10/4, 23, 12, 25, 23, , 1
2023/10/5, 22, 13, 29, 25, , 1
2023/10/6, 30, 15, 27, 20, , 2
2023/10/7, 36, 17, 30, 19, , 2
2023/10/8, 47, 16, 12, 13, , 2
2023/10/9, 55, 26, 18, 21, , 3
2023/10/10, 59, 24, 29, 23, , 2
2023/10/11, 62, 26, 27, 21, 1, 2
2023/10/12, 59, 14, 14, 13, , 2
2023/10/13, 52, 15, 29, 6, 1, 
2023/10/14, 41, 12, 22, 12, , 1
2023/10/15, 42, 13, 22, 17, , 2
2023/10/16, 37, 18, 17, 24, 1, 3
2023/10/17, 50, 19, 22, 20, 1, 1
2023/10/18, 36, 18, 14, 17, 2, 1
2023/10/19, 43, 15, 21, 21, 1, 1
2023/10/20, 39, 13, 20, 21, 2, 1
2023/10/21, 42, 13, 21, 18, 2, 1
2023/10/22, 37, 14, 23, 19, 1, 2
2023/10/23, 38, 21, 14, 24, 1, 2
2023/10/24, 52, 17, 17, 28, 1, 2
2023/10/25, 49, 19, 16, 22, 3, 2
2023/10/26, 53, 18, 19, 25, 1, 3
2023/10/27, 49, 15, 20, 22, , 2
2023/10/28, 47, 13, 22, 16, , 2
2023/10/29, 35, 11, 25, 16, , 2
2023/10/30, 32, 14, 21, 20, , 3
2023/10/31, 39, 15, 16, 23, , 4
2023/11/1, 34, 11, 24, 9, 1, 2
2023/11/2, 28, 16, 24, 18, 2, 2
2023/11/3, 56, 31, 24, 20, 1, 3
2023/11/4, 85, 16, 24, 14, 2, 3
2023/11/5, 46, 18, 20, 14, 1, 3
2023/11/6, 56, 14, 20, 25, 1, 3
2023/11/7, 39, 15, 16, 33, , 3
2023/11/8, 46, 16, 23, 24, , 3
2023/11/9, 41, 18, 21, 22, , 4
2023/11/10, 52, 15, 20, 17, 1, 3
2023/11/11, 45, 23, 14, 20, 1, 5
2023/11/12, 57, 19, 13, 15, 1, 4
2023/11/13, 67, 19, 26, 14, , 2
2023/11/14, 38, 20, 25, 17, , 2
2023/11/15, 47, 16, 20, 23, , 1
2023/11/16, 36, 24, 8, 28, , 2
2023/11/17, 56, 24, 13, 26, , 3
2023/11/18, 53, 17, 21, 14, , 1
2023/11/19, 30, 18, 28, 12, , 1
2023/11/20, 35, 14, 24, 13, , 1
2023/11/21, 42, 12, 13, 22, , 1
2023/11/22, 27, 18, 9, 21, , 2
2023/11/23, 43, 15, 16, 22, , 1
2023/11/24, 34, 16, 20, 18, , 1
2023/11/25, 35, 20, 14, 26, , 3
2023/11/26, 55, 22, 7, 26, , 4
2023/11/27, 48, 10, 18, 21, 1, 2
2023/11/28, 39, 21, 16, 23, , 2
2023/11/29, 37, 29, 7, 22, , 3
2023/11/30, 45, 22, 7, 21, 1, 3
2023/12/1, 46, 17, 7, 16, , 3
2023/12/2, 45, 22, 11, 20, 1, 4
2023/12/3, 61, 19, 15, 22, 1, 4
2023/12/4, 53, 11, 19, 17, 1, 2
2023/12/5, 36, 13, 14, 22, 1, 1
2023/12/6, 42, 23, 9, 26, 1, 3
2023/12/7, 58, 16, 17, 16, 1, 3
