date, pm25, pm10, o3, no2, so2, co
2024/4/2, 34, 25, 46, 7, , 2
2024/4/3, 47, 27, 18, 6, 1, 1
2024/4/4, 63, 31, 27, 6, 1, 1
2024/4/5, 73, 41, 46, 6, 2, 2
2024/4/6, 66, 36, 46, 7, 2, 3
2024/4/7, 71, 32, 42, 6, 2, 3
2024/4/8, 71, 37, 31, 8, 1, 3
2024/4/9, 73, 30, 36, 8, 2, 3
2024/4/10, 56, 43, 47, 9, 2, 3
2024/4/11, 72, 58, 52, 7, 1, 2
2024/4/12, 88, 45, 43, 6, , 2
2024/4/13, 70, 32, 10, 9, , 3
2024/4/14, 62, , , , , 
2024/1/2, 93, 48, 43, 13, 2, 4
2024/1/3, 84, 47, 38, 10, 1, 3
2024/1/4, 76, 42, 42, 13, 2, 3
2024/1/5, 70, 55, 47, 13, 2, 4
2024/1/6, 99, 55, 52, 15, 2, 4
2024/1/7, 114, 52, 50, 11, 2, 4
2024/1/8, 98, 46, 42, 12, 2, 3
2024/1/9, 75, 41, 35, 11, 1, 2
2024/1/10, 67, 45, 41, 13, 1, 3
2024/1/11, 78, 50, 46, 12, 2, 3
2024/1/12, 89, 56, 61, 17, 2, 4
2024/1/13, 101, 46, 54, 13, 1, 4
2024/1/14, 90, 38, 46, 9, 2, 2
2024/1/15, 72, 55, 46, 12, 1, 4
2024/1/16, 99, 52, 44, 12, 1, 3
2024/1/17, 78, 47, 52, 14, 1, 3
2024/1/18, 66, 54, 49, 11, 1, 3
2024/1/19, 88, 57, 62, 12, 2, 3
2024/1/20, 103, 55, 37, 10, 2, 3
2024/1/21, 98, 31, 33, 9, 1, 4
2024/1/22, 53, 21, 21, 10, 1, 3
2024/1/23, 38, 16, 19, 9, 1, 3
2024/1/24, 30, 30, 28, 12, 2, 3
2024/1/25, 61, 33, 25, 14, 2, 3
2024/1/26, 68, 43, 38, 13, 2, 4
2024/1/27, 87, 51, 35, 15, 2, 4
2024/1/28, 98, 52, 41, 10, 2, 4
2024/1/29, 109, 52, 42, 11, 2, 4
2024/1/30, 110, 55, 41, 10, , 4
2024/1/31, 113, 50, 43, 17, 2, 4
2024/2/1, 99, 37, 54, 13, 2, 4
2024/2/2, 76, 48, 35, 12, 1, 4
2024/2/3, 83, 44, 33, 11, 2, 3
2024/2/4, 82, 54, 35, 9, 2, 3
2024/2/5, 101, 30, 30, 10, 2, 3
2024/2/6, 57, 45, 34, 13, 2, 5
2024/2/7, 70, 31, 25, 10, 1, 3
2024/2/8, 59, 16, 32, 8, 1, 3
2024/2/9, 44, 18, 39, 6, , 3
2024/2/10, 49, 47, 47, 7, 1, 5
2024/2/11, 114, 43, 48, 8, 2, 3
2024/2/12, 84, 49, 49, 10, 2, 3
2024/2/13, 91, 45, 45, 9, 1, 3
2024/2/14, 94, 32, 44, 9, 2, 3
2024/2/15, 59, 33, 36, 9, 1, 3
2024/2/16, 57, 45, 36, 9, 1, 3
2024/2/17, 76, 47, 43, 11, 2, 3
2024/2/18, 80, 42, 45, 9, 3, 3
2024/2/19, 83, 20, 29, 7, 1, 2
2024/2/20, 27, 24, 28, 7, , 2
2024/2/21, 37, 32, 38, 8, 1, 2
2024/2/22, 44, 33, 32, 7, 1, 2
2024/2/23, 50, 39, 40, 9, 2, 3
2024/2/24, 58, 31, 37, 9, 2, 3
2024/2/25, 56, 29, 35, 8, 2, 4
2024/2/26, 56, 37, 32, 11, 2, 4
2024/2/27, 67, 29, 32, 11, 2, 3
2024/2/28, 57, 37, 46, 10, 2, 3
2024/2/29, 72, 50, 51, 11, 2, 4
2024/3/1, 103, 28, 24, 9, 1, 3
2024/3/2, 35, 17, 26, 11, 1, 2
2024/3/3, 39, 29, 47, 7, 2, 3
2024/3/4, 65, 49, 51, 11, 2, 4
2024/3/5, 94, 24, 27, 7, 1, 2
2024/3/6, 53, 31, 26, 8, 2, 2
2024/3/7, 65, 31, 24, 11, 1, 4
2024/3/8, 61, 48, 64, 9, 2, 3
2024/3/9, 87, 49, 33, 12, 2, 3
2024/3/10, 80, 47, 45, 9, 2, 3
2024/3/11, 83, 48, 30, 10, 1, 3
2024/3/12, 97, 34, 67, 8, 1, 3
2024/3/13, 64, 54, 63, 9, 2, 3
2024/3/14, 83, 59, 45, 11, 2, 3
2024/3/15, 101, 60, 53, 13, 2, 3
2024/3/16, 119, 53, 57, 13, 2, 3
2024/3/17, 113, 43, 39, 8, 2, 3
2024/3/18, 87, 61, 46, 6, 2, 3
2024/3/19, 105, 44, 41, 8, 2, 3
2024/3/20, 61, 62, 69, 11, 3, 3
2024/3/21, 71, 61, 59, 11, 2, 3
2024/3/22, 74, 47, 62, 10, 1, 3
2024/3/23, 60, 37, 35, 7, 1, 2
2024/3/24, 56, 31, 34, 4, 1, 2
2024/3/25, 48, 36, 34, 6, 1, 2
2024/3/26, 50, 43, 46, 6, 1, 2
2024/3/27, 64, 41, 56, 8, 2, 4
2024/3/28, 64, 45, 52, 8, 1, 3
2024/3/29, 72, 42, 46, 9, 1, 3
2024/3/30, 73, 38, 48, 6, 1, 3
2024/3/31, 69, 23, 28, 5, , 2
2024/4/1, 48, 17, 39, 6, , 2
2023/10/2, 53, 40, 50, 6, 1, 2
2023/10/3, 51, 35, 43, 6, 1, 1
2023/10/4, 37, 43, 34, 3, 1, 1
2023/10/5, 50, 52, 36, 3, , 2
2023/10/6, 44, 34, 30, 7, , 2
2023/10/7, 44, 27, 38, 8, , 3
2023/10/8, 52, 19, 38, 4, , 2
2023/10/9, 36, 31, 44, 5, 1, 2
2023/10/10, 52, 27, 43, 4, 1, 2
2023/10/11, 44, 33, 57, 6, 1, 2
2023/10/12, 48, 33, 59, 7, 2, 2
2023/10/13, 50, 39, 55, 9, 2, 2
2023/10/14, 55, 39, 60, 8, 3, 3
2023/10/15, 61, 46, 65, 8, 3, 4
2023/10/16, 85, 52, 44, 11, 2, 4
2023/10/17, 99, 59, 46, 15, 3, 5
2023/10/18, 103, 63, 44, 11, 2, 4
2023/10/19, 108, 46, 51, 8, 1, 3
2023/10/20, 83, 39, 47, 6, 1, 2
2023/10/21, 58, 27, 42, 8, 2, 2
2023/10/22, 37, 36, 51, 8, 2, 3
2023/10/23, 53, 40, 52, 8, 2, 2
2023/10/24, 53, 43, 54, 7, 1, 2
2023/10/25, 64, 51, 54, 8, 2, 3
2023/10/26, 83, 41, 57, 9, 2, 2
2023/10/27, 71, 46, 52, 8, 2, 2
2023/10/28, 81, 45, 55, 9, 1, 3
2023/10/29, 73, 37, 54, 8, 3, 3
2023/10/30, 64, 34, 44, 9, 2, 2
2023/10/31, 50, 38, 52, 10, 1, 2
2023/11/1, 56, 43, 64, 9, 1, 2
2023/11/2, 62, 39, 55, 7, 1, 2
2023/11/3, 63, 41, 50, 10, 2, 3
2023/11/4, 70, 43, 52, 10, 2, 3
2023/11/5, 82, 38, 55, 8, 1, 3
2023/11/6, 75, 38, 44, 9, 2, 3
2023/11/7, 70, 61, 55, 10, 2, 4
2023/11/8, 86, 50, 67, 12, 2, 3
2023/11/9, 71, 55, 59, 9, 2, 3
2023/11/10, 85, 48, 44, 10, 2, 3
2023/11/11, 72, 33, 43, 8, 1, 2
2023/11/12, 45, 22, 35, 6, 1, 2
2023/11/13, 30, 33, 39, 9, 1, 2
2023/11/14, 39, 37, 36, 14, 3, 3
2023/11/15, 51, 42, 70, 14, 2, 3
2023/11/16, 73, 32, 39, 8, 2, 2
2023/11/17, 39, 51, 45, 9, 2, 3
2023/11/18, 56, 55, 48, 11, 3, 2
2023/11/19, 67, 55, 56, 11, 3, 3
2023/11/20, 79, 46, 44, 13, 2, 3
2023/11/21, 74, 39, 52, 9, 1, 2
2023/11/22, 62, 43, 55, 10, 2, 3
2023/11/23, 77, 44, 59, 10, 2, 3
2023/11/24, 75, 50, 64, 13, 2, 3
2023/11/25, 76, 54, 57, 13, 2, 3
2023/11/26, 85, 41, 41, 10, 1, 2
2023/11/27, 64, 41, 42, 11, 2, 3
2023/11/28, 67, 47, 60, 12, 2, 3
2023/11/29, 74, 62, 50, 13, 3, 3
2023/11/30, 82, 50, 38, 10, 3, 3
2023/12/1, 70, 28, 29, 11, 2, 3
2023/12/2, 50, 29, 39, 8, 2, 3
2023/12/3, 54, 29, 30, 10, 2, 3
2023/12/4, 60, 16, 17, 9, 2, 2
2023/12/5, 32, 20, 36, 8, 1, 2
2023/12/6, 32, 32, 28, 12, 2, 3
2023/12/7, 63, 38, 49, 11, 2, 3
2023/12/8, 58, 62, 58, 14, 2, 4
2023/12/9, 94, 51, 59, 11, 4, 4
2023/12/10, 96, 44, 40, 11, 2, 3
2023/12/11, 88, 49, 38, 12, 3, 3
2023/12/12, 91, 41, 34, 13, 1, 3
2023/12/13, 64, 32, 47, 10, 2, 3
2023/12/14, 48, 45, 41, 13, 1, 4
2023/12/15, 68, 49, 48, 10, 1, 3
2023/12/16, 86, 62, 25, 12, 1, 4
2023/12/17, 68, 23, 27, 8, 2, 3
2023/12/18, 41, 28, 33, 9, 2, 3
2023/12/19, 43, 32, 34, 10, 2, 2
2023/12/20, 44, 18, 21, 10, 1, 2
2023/12/21, 22, 27, 24, 9, 2, 3
2023/12/22, 39, 36, 24, 10, 2, 3
2023/12/23, 56, 35, 24, 15, 2, 3
2023/12/24, 67, 26, 31, 8, 2, 2
2023/12/25, 40, 43, 36, 11, 3, 3
2023/12/26, 61, 50, 38, 16, 2, 4
2023/12/27, 76, 49, 28, 14, 2, 3
2023/12/28, 71, 27, 15, 14, , 2
2023/12/29, 55, 35, 34, 11, 1, 2
2023/12/30, 58, 49, 25, 14, 2, 3
2023/12/31, 88, 54, 46, 13, 1, 4
2024/1/1, 111, 54, 42, 8, 3, 4
2023/7/2, 18, 11, 25, 4, , 1
2023/7/3, 15, 11, 27, 4, , 1
2023/7/4, 21, 12, 26, 5, 1, 1
