date, pm25, pm10, o3, no2, so2, co
2024/4/2, 79, 30, , 5, 3, 5
2024/4/3, 82, 30, , 7, 4, 7
2024/4/4, 109, , , 7, 2, 7
2024/4/5, 128, , , 7, 1, 6
2024/4/6, 139, , , 8, 2, 6
2024/4/7, 153, , , 11, 3, 7
2024/4/8, 151, 36, , 11, 3, 6
2024/4/9, 130, 40, , 9, 4, 7
2024/4/10, 99, 45, , 13, 6, 9
2024/4/11, 114, 55, , 18, 5, 9
2024/4/12, 141, 44, , 10, 3, 8
2024/4/13, 113, 55, , 12, 6, 18
2024/4/14, 152, , , , , 
2024/1/2, 167, 78, , 10, 2, 8
2024/1/3, 165, 55, , 10, 2, 5
2024/1/4, 132, 67, , 19, 4, 10
2024/1/5, 146, 65, , 17, 4, 10
2024/1/6, 155, 72, , 21, 3, 10
2024/1/7, 167, 91, , 23, 3, 10
2024/1/8, 177, 92, , 12, 2, 10
2024/1/9, 186, 79, , 16, 4, 13
2024/1/10, 174, 82, , 20, 3, 11
2024/1/11, 174, 62, , 14, 4, 9
2024/1/12, 143, 74, , 17, 5, 15
2024/1/13, 163, 72, , 15, 5, 13
2024/1/14, 155, 71, , 14, 6, 12
2024/1/15, 165, 132, , 12, 3, 12
2024/1/16, 235, 99, , 14, 2, 9
2024/1/17, 183, 60, , 12, 2, 8
2024/1/18, 145, 22, , 11, 2, 8
2024/1/19, 65, 20, , 11, 2, 8
2024/1/20, 51, 39, , 14, 2, 4
2024/1/21, 104, 60, , 14, 2, 4
2024/1/22, 154, 44, , 11, 2, 3
2024/1/23, 118, 43, , 13, 2, 2
2024/1/24, 103, 49, , 19, 2, 2
2024/1/25, 117, 54, , 20, 3, 4
2024/1/26, 128, 61, , 22, 3, 6
2024/1/27, 145, 67, , 23, 3, 7
2024/1/28, 155, 77, , 26, 3, 9
2024/1/29, 164, 73, , 17, 2, 10
2024/1/30, 167, 44, , 13, 1, 9
2024/1/31, 124, 53, , 18, 1, 9
2024/2/1, 146, , , 14, 1, 10
